,model,double_itcz_bias,long_peak_bias,summ_itcz_loc_bias,wint_itcz_loc_bias,summ_itcz_loc_bias_eh,wint_itcz_loc_bias_eh
0,ACCESS-CM2,48.725106885276375,-24.0,-2.2809917355371905,-2.429752066115703,-1.536585365853659,1.463414634146341
1,ACCESS-ESM1-5,27.310755507751573,-24.0,-0.3471074380165291,-1.6859504132231402,-0.29268292682926855,2.3414634146341458
2,AWI-CM-1-1-MR,31.98841994598785,-27.0,0.7933884297520661,-2.231404958677686,-1.2439024390243905,-0.14634146341463428
3,AWI-ESM-1-1-LR,40.64875953194609,-33.0,1.338842975206611,-3.347107438016529,-1.536585365853659,-0.43902439024390283
4,BCC-CSM2-MR,48.94154384627626,-30.0,1.0661157024793386,-3.669421487603306,0.8780487804878048,1.463414634146341
5,BCC-ESM1,57.546689642824866,-27.0,1.2892561983471067,-4.289256198347108,0.7317073170731705,0.6585365853658534
6,CAMS-CSM1-0,65.43748958229367,0.0,2.0578512396694206,-5.677685950413223,0.5121951219512191,-0.3658536585365866
7,CAS-ESM2-0,46.80112369596608,-33.0,-2.578512396694215,1.7603305785123966,-3.51219512195122,2.414634146341463
8,CESM2-FV2,34.5245790489557,3.0,0.0,0.7933884297520661,0.6585365853658534,4.902439024390244
9,CESM2-WACCM-FV2,42.6330009402619,-15.0,0.024793388429751317,0.024793388429752206,0.5121951219512191,4.6829268292682915
10,CESM2-WACCM,24.626791856611472,-18.0,0.3966942148760326,0.12396694214876014,0.5853658536585362,2.7073170731707314
11,CESM2,21.614460076255785,-15.0,0.2975206611570247,0.17355371900826455,0.29268292682926766,3.0731707317073162
12,CIESM,136.32156613801763,-18.0,0.024793388429751317,0.9173553719008265,1.0975609756097553,2.2682926829268286
13,CMCC-CM2-HR4,45.44895538772875,-18.0,0.04958677685950352,-3.0743801652892566,1.3170731707317076,-0.14634146341463428
14,CMCC-CM2-SR5,23.630145479277907,-24.0,-1.2148760330578519,0.2727272727272725,-0.3658536585365857,0.951219512195121
15,CNRM-CM6-1-HR,28.368551111477647,-3.0,-2.231404958677686,-0.27272727272727293,-1.7560975609756104,2.7073170731707314
16,CNRM-CM6-1,26.867601947670217,0.0,-0.8181818181818183,-1.3140495867768593,-1.3902439024390247,1.8292682926829258
17,CNRM-ESM2-1,27.824812058468684,0.0,-1.5123966942148765,-1.0909090909090908,-2.048780487804878,1.97560975609756
18,CanESM5,27.886290005560674,-27.0,0.545454545454545,-3.6198347107438016,-2.048780487804878,0.6585365853658534
19,E3SM-1-0,38.40456971185779,-27.0,-0.3966942148760335,-0.8429752066115701,0.29268292682926766,1.463414634146341
20,E3SM-1-1-ECA,46.18884156911019,-27.0,-1.4876033057851243,-0.9173553719008263,0.8780487804878048,0.5121951219512191
21,E3SM-1-1,47.60345227901395,-27.0,-1.338842975206612,-0.9421487603305785,0.951219512195121,0.5121951219512191
22,EC-Earth3-Veg-LR,29.584796915618572,-18.0,-0.17355371900826455,-2.355371900826446,-0.51219512195122,-0.14634146341463428
23,EC-Earth3-Veg,27.41548778348085,-18.0,-0.17355371900826455,-1.2892561983471076,-0.07317073170731714,0.14634146341463428
24,EC-Earth3,27.265292522673416,-18.0,-0.3223140495867769,-1.0909090909090908,-0.3658536585365857,0.14634146341463428
25,FGOALS-f3-L,27.644807894824122,6.0,0.7190082644628095,-0.3223140495867769,0.8048780487804867,2.414634146341463
26,FGOALS-g3,46.23990507284085,-9.0,-1.0661157024793395,-0.5702479338842976,-1.1707317073170733,1.97560975609756
27,FIO-ESM-2-0,136.31133156001405,-21.0,0.2975206611570247,1.115702479338843,2.048780487804877,1.1707317073170724
28,GFDL-CM4,29.222662640186506,-9.0,1.0165289256198342,-2.87603305785124,0.7317073170731705,1.2439024390243896
29,GFDL-ESM4,35.688202857151886,-9.0,1.0165289256198342,-3.1983471074380168,1.1707317073170733,0.8780487804878039
30,GISS-E2-1-G-CC,65.00383694849879,12.0,1.1900826446280988,-5.082644628099174,-0.7317073170731714,-0.14634146341463428
31,GISS-E2-1-G,62.76251858069923,9.0,0.8429752066115697,-5.231404958677686,-1.3170731707317076,-0.29268292682926855
32,GISS-E2-1-H,52.443478387243694,3.0,-0.24793388429752117,-5.181818181818182,-1.9024390243902438,0.0
33,HadGEM3-GC31-LL,23.243501404851212,0.0,-0.024793388429752206,-1.4628099173553721,-1.0975609756097562,0.951219512195121
34,HadGEM3-GC31-MM,19.841689880149943,0.0,0.49586776859504145,-1.338842975206612,-0.14634146341463428,1.7560975609756095
35,IITM-ESM,46.1995727913659,3.0,-0.14876033057851235,-6.47107438016529,-1.024390243902439,0.5853658536585362
36,INM-CM4-8,31.20974310452762,-21.0,-0.024793388429752206,-1.8099173553719012,-0.8780487804878048,1.6829268292682924
37,INM-CM5-0,31.83237781462447,-33.0,-0.7685950413223139,-3.1983471074380168,-2.2682926829268295,0.14634146341463428
38,IPSL-CM6A-LR,21.884055290595107,-21.0,-1.661157024793389,-0.9669421487603307,-2.8536585365853657,1.6097560975609753
39,KACE-1-0-G,52.220230846331276,3.0,-1.9338842975206614,-2.0826446280991737,-1.1707317073170733,2.1951219512195115
40,MCM-UA-1-0,617829.2060417678,-12.0,2.231404958677685,-0.37190082644628086,2.048780487804877,3.439024390243902
41,MIROC-ES2L,31.27619855009023,-3.0,-0.6446280991735538,-1.0909090909090908,-1.3170731707317076,0.7317073170731705
42,MIROC6,13.31609315518948,-3.0,0.7190082644628095,-0.7933884297520661,1.902439024390243,0.8780487804878039
43,MPI-ESM-1-2-HAM,52.9259800893188,-27.0,1.0413223140495864,-3.768595041322314,-0.8048780487804885,-0.43902439024390283
44,MPI-ESM1-2-HR,38.27078308379978,-3.0,0.8181818181818175,-3.3966942148760335,0.14634146341463428,-0.5121951219512209
45,MPI-ESM1-2-LR,38.53418124748492,-6.0,0.991735537190082,-3.099173553719008,-0.7317073170731714,-0.2195121951219523
46,MRI-ESM2-0,28.911790837493808,-21.0,0.3966942148760326,-0.8925619834710745,-1.3170731707317076,2.853658536585365
47,NESM3,67.3020529965191,-15.0,2.0330578512396693,-7.537190082644629,-0.7317073170731714,-1.2439024390243905
48,NorCPM1,49.30589284607403,3.0,-1.3140495867768598,1.3884297520661157,-1.9024390243902438,3.878048780487804
49,NorESM2-LM,53.14052604234242,-15.0,0.14876033057851235,-1.661157024793389,-0.21951219512195141,1.6097560975609753
50,NorESM2-MM,25.978688042098135,3.0,0.14876033057851235,-0.5702479338842976,0.3658536585365848,1.463414634146341
51,SAM0-UNICON,30.120884412527477,-27.0,0.17355371900826455,1.7355371900826446,-0.3658536585365857,2.1951219512195115
52,TaiESM1,26.59017875741322,0.0,0.04958677685950352,0.8925619834710743,1.1707317073170733,0.29268292682926766
53,UKESM1-0-LL,22.585027178293902,0.0,0.3471074380165282,-1.5371900826446279,-0.8048780487804885,0.8780487804878039
