model,natNomRes atmos,natNomRes Ocean
ACCESS-CM2,250.0,100.0
ACCESS-ESM1-5,250.0,100.0
AWI-CM-1-1-MR,100.0,25.0
AWI-ESM-1-1-LR,250.0,50.0
BCC-CSM2-MR,100.0,50.0
BCC-ESM1,250.0,50.0
CAMS-CSM1-0,100.0,100.0
CAS-ESM2-0,100.0,100.0
CESM2,100.0,100.0
CESM2-FV2,250.0,100.0
CESM2-WACCM,100.0,100.0
CESM2-WACCM-FV2,250.0,100.0
CMCC-CM2-HR4,100.0,25.0
CMCC-CM2-SR5,100.0,100.0
CNRM-CM6-1,250.0,100.0
CNRM-CM6-1-HR,100.0,25.0
CNRM-ESM2-1,250.0,100.0
CanESM5,500.0,100.0
E3SM-1-1,100.0,50.0
E3SM-1-1-ECA,100.0,50.0
EC-Earth3,100.0,100.0
EC-Earth3-Veg,100.0,100.0
EC-Earth3-Veg-LR,250.0,100.0
FGOALS-f3-L,100.0,100.0
FGOALS-g3,250.0,100.0
GFDL-CM4,100.0,25.0
GFDL-ESM4,100.0,50.0
GISS-E2-1-G,250.0,100.0
GISS-E2-1-G-CC,250.0,100.0
GISS-E2-1-H,250.0,100.0
HadGEM3-GC31-LL,250.0,100.0
HadGEM3-GC31-MM,100.0,25.0
IITM-ESM,250.0,100.0
INM-CM4-8,100.0,100.0
INM-CM5-0,100.0,50.0
IPSL-CM6A-LR,250.0,100.0
KACE-1-0-G,250.0,100.0
MIROC-ES2L,500.0,100.0
MIROC6,250.0,100.0
MPI-ESM-1-2-HAM,250.0,250.0
MPI-ESM1-2-HR,100.0,50.0
MPI-ESM1-2-LR,250.0,250.0
MRI-ESM2-0,100.0,100.0
NESM3,250.0,100.0
NorCPM1,250.0,100.0
NorESM2-LM,250.0,100.0
NorESM2-MM,100.0,100.0
SAM0-UNICON,100.0,100.0
TaiESM1,100.0,100.0
UKESM1-0-LL,250.0,100.0
